hash,subject
0c708cb10dd7d37bb959b2c25fc583fbf090652e,refactor: replace overloaded surface terminology
0c80f9e7a1229c35bd58e4beca0783973ec8fd7a,test(subprocess): align native evidence with plan
0c88df78b209b2e234f65006ae0c7cced8ffc5f6,refactor: hide web provider helpers
0c911172e959d16fdf54a0cd1d927f4cb23c997b,docs: drop rejected compaction RFC
0ccd847ef30cd9c09d6179e1eaf58e7113c4d1db,Fix timer bounds and ACP teardown ownership
0d5b15b5b46a1c6ade75c47e6dba6d7fc6239cad,test: cover spill plugins in built stdio consumer
0d851adc3e9b64e3935ed9f978a6072ad8a92c53,fix(session): traverse JSON values iteratively
0dc0cc046b89295cf97c41c8a675bdb63edba22e,fix(host): keep metrics route lookup passive (round 3)
0dc66d5b77b012230595f2022c45b416608686fe,fix(web): support large search corpora (round 4)
0dcb514fc6c1bd4305b4bd3a784d5732d9a42d51,refactor(subagent): drop unused ACP cancel classification
0e220ab566cab2577b3cd95be02df991db425254,docs: allow rewriting pushed PR history
0e7d539bbc5b75ad224b312a11cc1e15e1ba527a,refactor: share the ACP test launcher
0e7fee95c0a5a981f27a564eaeaa9d9ef032f25e,fix(sqlite): preserve session metadata contracts
0ebb86e70f533c0cc232a650393feba6a6c4feef,Implement mandatory app-attribution headers per the RFC
0ed8e7baf62ee5243ea67e9a864ca2000fd2ca63,docs(lsp): document canonical query results
0f13ffa45825c954bc3eaa02dafef4816ba0846c,docs: link Web UI guide index explicitly
0f1c29c75110fb1cb218fff38bce048b6d9ce3c9,test(web): cover onboarding branches
0f3db7990294ebf71ce1d38fa248546ea2a102a8,docs(subprocess): record native systemd evidence
0f734991e15e32743914e483300017d1f165e509,test(web): refresh product subagent skill rendering
0f85ae0a9df15ad0a356087715afebba12ff41b4,fix(subagent): identify lifecycle runs explicitly
0ff3c236ecb6384302c20f729452af4d0cc9da5d,refactor(subagent): simplify Codex diagnostic handoff
1044db218d054915ae0b31cadb18f716a86d97cd,feat(subagent): carry model routing through DSH SDK
109df5210e2b8107ea517fb4ce9a328fe0c5ff2f,docs(goal): align current-base contracts
10bb9cbf4a22b5095bb9ff04d1425907af8f08af,cleanup: remove TUI package and legacy dsh entrypoints
10c1d77a4f3842812293d138a4e447356149ab5b,fix(landlock-run): address release review feedback
10fd0b4504b47285b67aed611e4cc0a2e86c5db4,docs: align unified identity translation
1123e946c0f5f1966c995debd83adf9c42b50f82,refactor: simplify session log representation
112b0fbad1a80de70c6b9bec6fdebf0e4ac884af,fix(web): address queue review feedback
112e25bb054f49eabc97d6234a70599a4e94e4d7,refactor(subagent): unify service errors
1145ee5fc378e1d2158d8d19719d42507558d7bc,"fix(invariants): assert runtime relationships, not API shapes"
11773170f09d0e2261a326cc611b058687b05498,docs: propose unstable LLM API recovery RFC
119c55e35eb6fff4d760029599c717a7fd23a099,fix(workspace-context): reconcile resumed baselines
1222d07da965b40be77861c8455c0efc09129eeb,Document host sandbox retry behavior
1250b41054fb7916f076e22885fcb1386c40d76d,docs(subprocess): clarify Windows runner disconnect
129ded523c9c0ad52429c1f7948768c70cefb3b4,test(web): keep policy snapshots host-independent
12fe458e355115212bc0e53dfec726572a207bcf,Address comment cleanup review
130410bb98593ffc45d203c42049cb8c76f4bfc9,fix(web): preserve subagent navigation and fork grouping
1316022cc8eeebd348e0960f0e486fa89a44d17c,docs: revise graph docs from review
133be74b1552375cd390bc9e01a9da7333b95329,ci: tune static lane concurrency
133f37584f1e9ad13796a0cd3f7c11b6d143f931,docs: reconcile LLM recovery RFC with sibling PRs
13631134aa422af1e670808e84892958d6b179d0,fix: address codex review round 2
13d7318dace1316e82b91a397c338aaff669a5b5,Fix provider diagnostics and ownership docs
13f3b2c1727f0ba6506645ac992705e8be682325,fix(subprocess): match native spawn error semantics
140d32681ef2fc4b35dbae710044c7b7c4e693b7,fix: make ACP test teardown failure-safe
1446e36a036cf4d8a551878fc3e2961ec6701125,test(subagent): pin Codex payload diagnostic
1468773dcd7f2a6eb0ffa85978a7ad959a152995,fix(goal): simplify blockers into one durable phase
1477d5b9efe79bf354ca67cc257666f374a73419,fix(profile): preserve current fallback architecture after rebase
148046b9c8688e833d0a7904f970bdf8719e88c2,docs: rebalance prose cleanup and add trimming skill
14c16012fb9b991a8ae8030e3c4cdcc615d57a01,fix(subprocess): preserve post-commit runner errors
14dc8cd349ff03c551fe91bbfab7ad6ae1ac01ca,docs(agent-presets): record shared product provider placement
151d6387e03b9f41b553e7f079588f76d7317516,docs: refresh module dependency graph
153f1579e1084ec5e896bd9c74a1f07eb44ebf9d,refactor(subprocess): restore native containment baseline
1540e76598f8365f64ccdcb200f7f9fb6ac50591,docs: capitalize Service Provider across repository
15612c19986dd17eb5e8957751b377a864ef59dc,review fix: trim duplicate closure evidence
15640ca697b5bfcee514faad467a1584a6b0cf01,fix(goal): require explained model blockers
1578b7b3246ff03ac68bc5655d48972ff6ab3d6a,test(web): fix default search CI coverage
15c7a27f39868eed13e483d8216f7143de8a6bc6,Fix project instructions review findings
1627728eff0acd837c7b5cf0a63043f3668779ee,fix: allow audited publishing repository links
166004a6a8cb0e88e9b2d848d775283661b257e5,fix(subprocess): preserve Windows startup errors
1698f0baa6226a945bc1c459a2a320e389f2cec2,fix(cli-demo): preserve disposal diagnostics
169f86966a2cb2aec97ed2613cb8f766b6caed4f,fix(review): lint prompt Markdown paragraphs
16ffd631153924ceab91763f391a71cd05fc906e,feat(web): add nested subagent conversations
1709b8cfee7c00643007e0fd15f02b5eaa1d6865,fix: keep source Code Mode worker self-contained
171bae5c20ee23abfafaf7a244e13ce1a2692649,fix(compact): harden pruning integration (round 2)
1760649ba7489c6a6d22d8ef550c79784dcb63c7,refactor(subprocess): derive native owner state
17893c503edef94236f1a8c4923d51ca434ef6ae,feat(web): match context injection disclosure design
1795dc6e19b9c0393fa7b20f7460dddc34584eec,test(apps): configure workspace context in loader fixtures
17b979253222261a5a5ba5122a31ac7df6fa9db3,refactor(tools): share terminal task schema
17c99efcc14c76bbc548f64ec536d95a2dbb25c5,fix: complete unified subagent identity
1815095579a28d5eb46ba7329f508d31b3a79d56,docs(api): refresh compact reference
182e6a28ccc20035cb22c7246fbd67c6e0909c65,test(code-runtime): cover malformed key markers
183aa65deb29f7df8fb320cc3ba448c9d1cdf661,docs(agent-notes): revert public beta framing in default-off note
184e164091d462cefc9dfe309c0e85d46ca6e231,"feat(tasks): background task runtime, generic task_* control tools, bash/subagent producers"
18527071c442702d809f98e808313c79bb8d0a2a,docs: refresh module graph
1891cb52d5738ccf857597a7a51158dcd92967fb,Defer OpenRouter-specific attribution headers
189502e4ac65bffd86bcc42a69ee0fa6a936f605,fix(subagent): preserve follow-up provenance
191c8cd64000658c3134776132225c71566eb814,fix(acp): scope connection-owned continuation drain
19256704c7bb72f537a74390625ec5a58707298e,test(win32-process): type handle-order assertions
1934035d04dea2d88caa520c27d86cd8cbe8f57a,docs: update skill system RFC format
194facabdba04e8a43b3d2c031bf98d6bd9db130,fix(team): authenticate browser panel snapshot
19504f7e342f1c0f534eb3a2fe43648ee33c3ea9,fix(i18n): resolve pairing workflow review findings
1951eb546386e9002caf6c270ff0e055793fbeab,fix(runtime): include dsh-home in bundled closure
1986de9ac14d8eb5ae5b0d8c79341d9faa3e2369,fix(web): show plan status only while active
19a1aec89e82c8c37c130fc01c2ee77b0760e1fa,refactor(llm-retry): simplify policy history validation
19b96037f685e7fda01bb4906be89bfbf8287091,fix(sqlite): enforce integer session metadata
19be29cd0bc21d8e58a41c9d150c173684078549,fix(workspace-context): guard baseline restoration
19d034169e6b22d3e90ba9da4d082a9a021b669d,docs: regenerate the config catalog source line
1a111654ae13b9dd448cc7166499c45247e20731,docs(subagent): restore local run identity contract
1a14b605695a35472b12afe2b1ed8724f9e9e00a,test(goal): close terminal pause e2e
1a4349be880a7ea500636b6b05fe442e88d1e2b3,test(sandbox-policy): record cache-safe policy context
1a69a3debedbe6b54b53f069084cc68b6d3ee284,fix(tasks): bind cleanup and notices to exact owners
1a8621527c41e87e649c4d7c2e108f9a20385e26,docs: refresh event producer graph
1aadce9fe7eaa24f66a210e772acd701ed06fc20,refactor(core): centralize DSH home resolution
1ab3cbf673b51f1634dd4dc01b48ade7cbc75ed6,fix(subagent): harden continuable persistence
1ada79af816ad408e13306cda63989093636572e,test(subprocess): cover settled scope waits
1aedb23ca608c07220186716e6ffd8af4e26ca07,test(web): align subagent access mode golden
1b59b3fc199f807b4cfd2b89e97761ecb2909f2f,test(web): include context injection in search golden
1b91e5b4feb955ab0cd81325dc30e563e450b710,fix(workflow): refold coalesced disclosure cycles
1b9408268b69050c69b485e855dc23dc0412545b,ci: cache eslint lane
1b9fd9eaa74eefa805480975cbac406d83ac2a51,test(subagent): trim redundant product evidence
1ba00bf80cbafcaab030d590407cad7da54bcb3c,feat(web): inject workspace instructions
1bb9995128f75474eeec9933e2bab6fc69a8b60e,docs: state subagent carrier invariant
1beb38554e62bf6c83b4b163c135b69c0f4ac38b,fix(review): align runtime-context diagnostics and docs
1c253f7c5a689f0a5a7dc199b29b1a9022ed487f,refactor(i18n): narrow link normalization
1c30548068ad21384c65c758f05f51efef6cb9da,test(subagent): rewrite continuation spec for activation lifecycle
1c405d41a588a49c52cbeb4510b95214eebbb021,docs(subagent): clarify Codex unattended runtime contracts
1c5305ca22d2c1e0ec5ba8fd1c321f5f7f8367c5,test(subagent): type blocked SDK outcomes precisely
1cc59ae78eb42aa5bd5d7e0044788dd920081efa,test(web): split long conversation performance cases
1daa35b6e3a8fca62b9e42abed6a0d8cfc6ce398,feat(subagent): add Codex product provider
1dcfc63a789ae207a7bb61fd6ad860ab1da6fd6f,docs(goal): refresh event source links
1df9f3a84ade29f3393afbe4737f014b5ee4dde1,test: cover the glob path arg in the fake-executor tier
1e06fdbb86ecb56d80b4af13fab63de99d320583,refactor: colocate user interaction with ui packages
1e4de0deaa5d9fbe0b725c90b098001a3fd8ecf9,fix(sdk): pin generated project build tool
1e73d96bb14f719a0a4e7491ed37c0a3eda942f3,fix(llm): preserve empty assistant serialization
1ec75c90826bd311cdea00969c405401aa9e90ba,perf(history): retain packed records in client
1f2c85c854985384febdf6829cc3d9eb2181b3ed,test: await fresh stdio agent publication
1f4f147699e62ece81ea3d13698ac382603f059a,test(tools): close canonical output coverage gaps
1f7e1765a5e60443c7990136d8d093da6ba4e39c,docs(tools): distinguish closed object validation
1f9c8d66e6ddd7e660fc26ec5dea05c97dc7e623,fix: keep root dsh script cross-platform
1fb1f00ec24ab7580286cc482d455dba7156e01e,test(host): isolate compaction metric preservation (round 2)
1fc04feb771d99929e741ea7887a87faf2fb4d6f,fix(subprocess): close native platform CI gaps
1febeb8428d1c1dd4d24f812567b792d3d3f79ea,test(jsonrpc): configure built scope probe
1ffdacb2c4dd0387ecf370b0ecde41979f046126,fix(jsonl): handle filesystem path aliases
2027c70a17661fe2b8b5aab1685cd443ac2c3b56,fix: drain failed ACP launches
203767cd3725405a79a58764ba572ffcaa7af3b7,test: prove ESLint to Oxlint rule parity
207692bc161f004193af4bc750703e089cb59b71,feat(goal): add human goal command
207c45d15f5486bcf958a0c01c0ea5bab8192a49,fix(workspace-context): deduplicate baseline on resume
208f37157abc37964d3fffee3a9c44cafa84bc33,fix(subagent): simplify optional provider delivery
20cd7777534990d615acb27fe98553219a042841,Cover next-step report delivery in subagent runtime
20d55b2c410606854d3f300865b2e944f49e97e9,feat(gateway): support ranged journal entries
215c8c813283b9bcdc75d984761c8e5847f014b2,fix(subagent): wait for real startup evidence
21820b6816930d26fd285115b38d2336294e0bf6,test(subprocess): cover async scope failures
21ae7348390f5454b9de4a4333a62f3f0b0db991,fix: tighten project instruction path handling
222096e3cf50ea1fbe182f129caa96e942fa540d,fix(web): validate search hit provenance (round 2)
222bebbbbe427d31d4009be5f5161cbed54b67ff,Clarify ACP workspace resolution
225796c90dc5a6ea9b4afa2a9f4081f9d48606ae,refactor: hide the concrete agent loop
22c70870742bd69590863c769a5beee684bf8e77,fix(landlock-run): publish under deepseek scope
23330b7a7d00fa6f4f058423aea57d4552792808,chore(goal): remove retired e2e dependencies
2333ab19e3b03bc84cf050b16e897b830b2dfdf2,fix: verify JSON-RPC child ownership
234ffe4604f784cd45d9d6a181cad2a0291b6f52,refactor: move project instructions to prompt group
23680e838b60dbf57b03d97b4daa31cf0ba7d3ea,fix(web): synchronize subagent navigation state
23850b4ad9e90dac72e358578587684ac93be2c1,docs: align model experience with scoped runtime
23af4410f60df2c441efa0f8e9899eeb2517a177,fix(subprocess): resolve source runner loader absolutely
247526d4cacda04b29f9629676e2fd74931b8b6f,fix(acp): adapt compaction wiring to token meter
250d90d481162b55e0c72b262fc50df4f2f8a74c,docs: regenerate cordis catalogs after the master merge
25555c9cfc33b0e7eb0d656cb3ae011d6e7bfdab,feat(goal): drive same-session goal rounds
255cd90c6e04e3fd14ec54df4764106fbc1a1673,compact long subagent durations
25a5dc35ba4498a3dbb75264aa74b3937c9782d2,Refresh Cordis event API summaries
25d0ef5c6c1a6570ae8eddb6141bc616da2397a2,test(code-mode): cover terminal output types
2623ddbee4ae625458b77fb0fb2594f2f44aec7e,fix(code-runtime): validate arguments before worker dispatch
264bc41a13cc24d66e1d5b2b275854b7f99331d5,fix(subagent): preserve ordinary start requests
2660635e6302e1b0fdef1e827a984d28c049ceaf,fix(shell): preserve stderr on provider failure
26891ce5ca26d385ab2bde721d023b5fb990f2fb,docs(tasks): narrow invariant rationale
26969588b7f3960c2857306f024c586557b9bf44,fix(subprocess): address native containment review findings
26a117f842c9cc87987963a2cd127b2c980e283c,feat(subagent): activation-based continuable subagents (source)
26b4b036fcb8376c87b8bfb292ea01d246bfa7a4,test: refresh prose snapshots
26e2fe9356bf1c65a8022dac8492be257ebb722a,refactor: drop assembled section order echo
270b8e0acc64581f604a86367dd57ce5d6104d62,fix(subagent): close Codex provider CI gaps
273c2847e536e4a4710b2e7370660c48e6282eed,fix(subprocess): support packaged native runner
2765de87c888f5148536f52bd0573fb45e46b621,fix(ci): await math snapshot metrics
276ebd9339a09680ee67cab574385530e1dc281a,docs: propose experimental plugin group
277b58088f68b10cac0b9b6b1010f2ea7dfe7a0b,docs: narrow LLM request recovery proposal
277c540a9235dd8d794473ee166cb63dda2d45ae,test(web): refresh preserved queue snapshot
27b5c12da924491a0aec2027dd89f3cf7206e353,fix(i18n): preserve authored external URLs
27b8d6fe97bdbeacfd25bb89c001967f772b3e5f,fix(chat): exclude packed deltas from token fold
27fe26f8d25ee2fa57f55b7edb8e1d701da6a4da,docs(code-runtime): record captured intrinsic boundary
283c78eec88c3d1e3720c9f2c19dd5de04bf5549,test(goal): refresh shipped ACP goal snapshots
2850c22b7a075ce77d8bb07d80cdeb5cd1917118,feat(ui): add plugin command registry
287041e39e93b368646f0fe8298b65feab692acc,fix: preserve malformed snapshot fixtures
288023dac182c407c296571f3730ff3a89a0696a,docs: define local subagent lineage
28f7fa0969949c1ab1dc38840c3eb236723f72fe,docs(rfc): record deferred skill extensions
28fcda2751c73882c3b0e4471f2d4d2813e7e0de,feat(agent-presets): enable background Codex and Claude Code subagent tasks
2943d0303ce1da92b7d954cfd09c7769178a0d7e,Address skill review findings
29729f83cf101be3be334a84f93e3a1cf7eaf162,Test the TUI through ConPTY on Windows
29c68b6da90af0b00d2315931741c08df668c6ce,docs(subprocess): sync native containment evidence
29d545eb212e88f9589134be420eff3ed8673b81,Refresh front-door config catalog
2a060adfa828fa126b563f4f115033f2605e6764,fix(subagent): keep ACP failure observation cancellable
2a6fef66ef3d55aff250f31f3d728f15e15f5269,test(agent-loop): remove review bookkeeping
2aae64b5da49b62dcb101b0852ad52ed2aab241d,fix(goal-session): preserve typed error variants
2b2f109dcb3f6a6c02111f13d7532e885f915410,fix(web): keep default capability search-only
2b36620e55c94bd49a66d2956a63c97254bdafb6,fix(persistence): tighten crash repair and dispose semantics
2b4641799e237f751512309b0523c39448dc3be0,docs: expand session persistence event catalog
2b82225543c0103b436959fe5361f5fc61b36499,test(workspace-context): align source form metadata
2b99d8f5c27119004c3a29d445d71e1cdf11ea79,test: cover project instruction configuration branches
2bc4e05a089ca25d6187649f8a997803a1bf5395,fix(tools): enforce cooperative cancellation
2c0ebebdf8967ab56d3cea6e666629e0f320e76f,test(subprocess): type close interleaving fixture
2c16c20d2a93282b323c88b43b724a4769ec0ffe,fix(profile): address Agent Teams CLI review
2c36792b6caa1747973aba87c392a922c703741b,docs(architecture): synchronize Chinese pair
2c7822ddee5fc0ac6f7253de07f8e88a5a43a206,fix(docs): map exact source aliases in built checks
2c94ec6cd3e1a1468883f9dc006e2cb6cc6d8d56,fix(i18n): localize encoded exact links
2cf689301c337c53739e4cebcc37929c06e325ff,review fix: close one-turn lifecycle gaps
2cfc38fb70c9128c3a80c5a5dd753769cf7ef4fd,docs(agent-notes): clarify superseded ACP rendering
2d80d868bed2aa4fa8df8d769e50894635b2a167,ci: isolate lint and tune coverage lane
2dca8e2151ef3745f88507fe2aac17cabd630eac,docs: refresh agent loop catalog location
2dd3b1dfba6921216ba7d0168a15ac277a4e4cd8,fix(commands): harden registry and UI ordering
2dea4afac0d49976700139a766d40734e3204f4e,fix: bind stdio to its configured agent
2e00a93edaa0b3bf846ea0556d30e3f551492c6d,fix(subagent-codex): support Windows command shims
2e5c439ecfc30e3f193c7e787393d43965c481b8,fix(subagent): decouple child listing runtime
2e68e086449b1884d2ae22005c4e156de00e5a85,test(web): isolate direct smoke skill homes
2ecc89a1867e17383f93f5f218ddf3e4ac5616ed,chore(web): drop plan RPC residue and stale carriers after merge
2ef9590f3323ebf7293b49d73394ca0fb28c2f09,test(loader-smoke): declare argv lib fixture
2f1a40d9381aea67badc63f7c1d30e5cda5c0f02,docs(catalog): refresh AgentLoop source link
2f3ac10da046036a36870e4bef1ed04f518580d5,docs: implement experimental and internal package group
2f4bf08798421d66807f8260fe85da0f5c7090c1,docs: add Chinese contribution guide
2faeabb05a2ed90f4853d04162bbc3dc57c86164,refactor(examples): rename coding-agent leaf to repl-agent
30503c3b0308752d9f915e8af631d76a1fed754d,test(web): type large-corpus search mock (round 5)
306dd2b1fef2d1df141b6acf268ee4a0da3af598,fix(cli-demo): make failure rendering total
30b9d0464a0b66cb1a1190f62043db6a5eb519dd,fix: address codex review round 3
30bffb5642ea4bc2c56ae5a2afb3bb141f4d3819,test(cordis): cover balanced sparse schema lists
30cd11e698b7e2795b84e53447f098d8f401c938,docs(subagent): distinguish cancelled SDK cleanup
30d1af3bbcd02f7e4698fce4a83ee979806db041,docs: include JSDoc in cordis catalog blocks
31215687f9e0a8eb390c1be26cb738e3555d01ef,fix(web): honor search ownership and cancellation
31be42e92d1792c74466a0f7afe6e2a2d7f18106,test: add ACP spill snapshot coverage
326b199f255c61647c190286960dd974488a70ee,fix: address codex review round 2
32774d5ff367b34b57b11eb51f7cf0986ee7e707,Update AGENTS.md
32864c026cbfc7a36d875d1bee87b8c28bba0a78,fix(clean): remove native build state (review round 3)
3293d56a066865faec7614f2be7cae3f707d7bbc,fix: clarify provider retry delay contract
32a0e871b7fd51ba79ecc42368c6ceea6f814081,fix(web): preserve queue on stop
32b2b2409915ffeffaa086e8a1343b9aa37f7433,fix(subprocess): close runner stdio handles
32d9268d4a2ecca241b8a40f96b1e95852c2c053,docs: preserve concise config rationale
32f369c3a01d2961836fdd751526f10b9a5703f3,test(subprocess): widen Windows stdout-end race budget to 5s
32f829c4e6a3004268afd26dce8684e3555d83d7,fix(subagent): complete product provider lifecycle
33112b495713d06c5094f58291410e039dc66078,fix(workflow): scope clean-cycle reset to phases
336f4e51ba0b7fe0c79abbd7d617f6597f0fd7fb,docs(acp): align identity routing contract
3383c20c638d1a76833dc322df3aec3ce15217a9,fix(i18n): refine Chinese prose and prompt validation
339c30ed148416e5a7c596c2eb4e20b5f567103a,docs(bundle): correct product provider opt-in guidance
33e90e991943374577d4a35883142b203dbf3974,fix(sandbox): terminate on first drain failure
34194f0cd5653a5f0e1b55692bac9d20d973e876,fix(tools): make schema traversal stack-safe
342e94d2d0462b1bae72064d1e9f13ecb929604a,fix(schema): use inferred PTY presentation args
344667cbf0c3dfd071a3f3a9ba0f32acc007f0ac,fix(host): cancel retired metric capacity lookups (round 7)
3464f8829703e9738d63ca294e624ce428b54289,test: shorten compaction e2e smoke
34abf697306592177c493fea8b7043a864718c82,cleanup: remove managed source installer
34b6cb91eda44b9febd928eaba192aecec63b909,Keep provider adapters private
34d313693dc40599f5d059669e133a396d6f3944,test(subagent): pin terminal exit ordering
34db64d90d77ea8c5646c5c93ea5a6451fcd851a,refactor(subagent): simplify Codex permission runtime
