merge_hash,subject,non_merge_count,non_merge_hashes
de727c4a1b08a2d383a4a3264370bdcd058adf4d,Merge pull request #2773 from deepseek-harness/codex/simplify-comments-and-docs,1,6b3e97180566685831e54eabf9c460879eb1bcb0
d04adbc73c662dde8d1cd90d398c4df5e4e01bac,Merge pull request #2714 from deepseek-harness/codex/subprocess-win32-process-primitives,23,03186fe93f1215fb2f322a42802aa6993a91b7c9 19256704c7bb72f537a74390625ec5a58707298e 33e90e991943374577d4a35883142b203dbf3974 458ba498151914fb5feba8d8491ac14918060b6b 4605124732ba004f6fafc42a8489c3b814a8d309 4a722de4fa0218295ea31f9c43346e9818d3d5af 4f381b83c969c57c6f03c58676c620232fb04628 5375142827147d1c08c1dafca05948a227e5521c 5490a5e070899fb22a00964216697610069ee78f 5b47da02aee90da2b369b0a8c1beb08968859caf 60587b4901c779fb00931545ec6c326ff07c6fc4 668da7f507afb7404bfc6e4721e34f541d8a4f44 7ef1c458f062732a5e98f0b3b107b9a38c4a8dc9 8505d61f6965e95f330f09828bb420479891d9b3 85b8484a95cee01336c3d56c9bcca480b94e62f3 9241ac22af33877dd55d4c506b0df4de1e3dc333 a163f4019b15437844951842288aa7002166c9a7 a5368680ae957e2402aa06ba3d0189890a233841 ab494bfdcaa11f839037c63a9ca43a32fdad7459 e18564de03869987532c7ccab13500c2090b2758 f1fd304dffb4f4495713d1e7bf329b274d5f9200 f9a264c76e7173548848889565b8fa5376263e11 ff7a5a042c5ee0f77550954fe1717b0e06a396cd
ed3ef7aceef1a567394b788c64b23fa6f96a7af3,Merge pull request #1373 from deepseek-harness/codex/remove-cordis-catalog-line-numbers,1,f248dc37732062cdb4c2f23b9b2c8f0c403a9a74
e3248cc89325dfd1f23ef18075555f3c4920578a,Merge pull request #2708 from deepseek-harness/codex/localized-chinese-doc-links,16,00af8d4f77d7c5982a046228a1c96243f6b8820d 08ec2622b0e79bd0c82f29ad82cdbffc4f966bfe 0a1a1b937946482a96cd56c0de868cff31ddc8ff 1c253f7c5a689f0a5a7dc199b29b1a9022ed487f 27b5c12da924491a0aec2027dd89f3cf7206e353 2c94ec6cd3e1a1468883f9dc006e2cb6cc6d8d56 4f8ff004e6f000e6e0b85d788690f6fce1e7efca 8a334c4d496e4585867c5452821635e847bf7ac6 8d3674695ba708d90719fad504357c1897fd7fce ad6516933b3176ccc0d262981992c024d2480147 ae9b69287ff09d96c54d2d1e30b13b2f3f49e958 b7e195a7e6edfb3932af44c780e243cc46ae915b dd13c05192167bd18c7c6a8bb9cf10e411c9df71 df11a8af920b99885e3654fcfafb6562e8c1e73e f5eb06915ae45b8e839d5ac3bc5b8f6cd39b3bec f6fb0740366f30fac5b6a4fe795ef8de8240f31a
3a9e1a6e24567a18c424192f4224eff40983c188,Merge pull request #2749 from deepseek-harness/codex/cache-hit-decimal-display-v2,2,a4da0f40d5e4ac11990ee0f6485f39ae2def66aa fa2ce12162f2bf8691ead92fd5c85212a9a041da
fe12e047327938012031dc1ec795cbab8afe2cf8,Merge pull request #1798 from deepseek-harness/codex/fix-bwrap-proc-root-escape,1,82db1515fbbf3c161a62e6a989d4e19fca6dde85
6efd8edd0fb934803557588b1a1c1f9531e660da,Merge pull request #2306 from deepseek-harness/codex/sqlite-v2-chunk-packing,1,93b4b98ef3f626f7d83dc14f4b5734521f5469a0
943daa17dc03f8787ec395c44b0432c76c45e998,Merge pull request #2640 from deepseek-harness/codex/product-subagent-failure-facts-codex,11,1b9fd9eaa74eefa805480975cbac406d83ac2a51 34d313693dc40599f5d059669e133a396d6f3944 6bae03dd692d777c84552e1d21ed01185dc9a582 6ebf8d199d35bcbfa7a1648ac6ceb7123e4c28c3 72884ec430e131581891f17d50625a62e79d3641 7fb9de99b5bace643816888f5af6736da8c15187 8debb798d8c2d82d671183bbb07e05f2961f5291 a3fc0b5ecdbe02a3dda42e0b93f4965654902308 b032097c2a651d0ca231f9c4f3ac212376615a54 cede4fdb76cadb6c4adee3c5985ad01d43333372 f0b2d7c762f5975169dfcf93fe39d27a76c02505
bae043e43242dab058955d29e53712a01374caa0,Merge pull request #2636 from deepseek-harness/codex/product-subagent-failure-facts-claude,11,3621716704fe5e88317a5c498f25e229194b2626 4c6ff93535bf15e28569de908e1ab27e21dfc64b 605b399a8f7de3a7f475dc47f434c2439ce8ff3b 77211b1c262b0bdfe147bfa2ed67aea958782f8e a3a9f86d8968876020bd597ea5e39db63525065f bf2e9e474cfb55dd7c7c2106c8a7d07b0e4cb1f4 c3a04de1cfbdc3649025d6ecbccad53af71826ef cd4f8b7f46b374dd6d4625034dfc64765d52a8c0 ec3da3809a9d222557c95a29a9806c733bd5f1b8 efd2999aec2d9b963a074c9bcf1b08a561eee347 fded16f68881407c261b87480a4cdb7500c73a1a
36d8a2ae9ab2e7a29133ffe92a24a74388e9cf88,Merge pull request #2603 from deepseek-harness/codex/web-search-multiple-queries,4,6b4df99c44e95ab0ae1a0bf43e6b75e9c7f93bab b06722e2d406fd6ecbfcb49cb93bf04a1d51a829 d57c2d19db1aa45656653e217ea6cff1840b9077 d792a89c8c174272b653b62e01158389942677e4
c11971056098c59f62d588b93012b90445567ba2,Merge pull request #2579 from deepseek-harness/codex/installable-codex-provider,12,02e4100f2a09253dd967ee94c2ff572ffaf0669b 1446e36a036cf4d8a551878fc3e2961ec6701125 4775095aa2b2488a5d179dd56d1a9eb133983aec 72ae04abde84856bf653989648923531cd7fa632 72cb49dbbb90907cc5a8862d65ad6e1dbcfcfd67 ac9351594393fb8e3c3cde9ee2e6c58f3f01633f b2178ade8028597e7565db77dfe3ef4ecd68b99d b6c52c82bbe47a63981e889d08c268d8851e52d3 bc91897adbdd1932ee510ebd5ede3c49f74d9feb cb229c896450b160e95cf6a5cfee5f31cb996e62 d1a767c66b34b7de8c97f56497d8b6594e87956f dbea39a125a787163b7725a1eaf01027abf2ade4
1df24165d0d3316edc03d40bd3343adcac559e5e,Merge pull request #2392 from deepseek-harness/codex/installable-product-subagents,13,08a2c234c0b3f336d222e1575c1414faa06d4e99 0f734991e15e32743914e483300017d1f165e509 15612c19986dd17eb5e8957751b377a864ef59dc 208f37157abc37964d3fffee3a9c44cafa84bc33 4be7e7680e157381919f6bf961bc4bba5869e896 86c51704cb1c5044400fcae25e8e11a87934ec01 8fa6ad9132561c66c3016a024a4b1a6c1d141db1 9fcdb2c160ab34dd04d90c4fcf82601a0e77eac1 ab696d84c20031b08dc7c3d957c9bf0e68654e48 b4366e711d634290101b6b82deafac405e3de3b1 bb3010a8dfb406a472115052754591c58ce09fa8 d1629eed45062dd7b1de73e1f0dd51452733d6a8 ffa119e86e1ff17ea0e93a04ed59941c17d58feb
836c32275805dc08fd03ec156928d658cedb49f1,Merge pull request #2638 from deepseek-harness/codex/product-subagent-named-instances-codex,10,044f65e46b6e62b38c3f2e181575d905a423e0ce 49351cbf0ee08f19ea6fde860eee615d7155fe9e 75cece4b926862105412eb85af395534ab877fb9 7dd6436d52aa59f9b58c927f38a1076a12cde85c 9b83852dccea45c4de8946cd84d9713c2c4db068 a5ea2c46a7c96f1437d6615eb9bffd187e4f5090 b85cb981eff636250676b13b2b6a98a46e292c57 cde7ffe6e3c3be1c3f602efd92318c5d2711f4d5 cf16ee41bfdec31cf338a8954eb9e60514c6a6bf db52686a96611f5c987ea9ecfe05b56444720c74
f8912628f5d2ee4339fb5226bd8c145d80e89659,Merge pull request #2589 from deepseek-harness/codex/product-subagent-noninteractive-permissions-codex,12,000cb1a0dbe46b8e3ee679ce8d23c8b9ebe22076 0ff3c236ecb6384302c20f729452af4d0cc9da5d 1c405d41a588a49c52cbeb4510b95214eebbb021 34db64d90d77ea8c5646c5c93ea5a6451fcd851a 4d03472cd098dc48a630e526ca620f4f37f18a0e 62da706b64b15b31a0a960d8987d6cc9d93950d3 6ed3cab9b58fceaf0d15608c0f8a5ddd0e7b3419 7eb203069c9995ba94b2808bafa64fdcda87274d a016e17393d43ca57a0c41884805698a45a232f6 a3deb9aa5ed874a638d728a3cc7b8bf86a66281b cfcecbf0c7fa1f8a33de1f280cced62cda43b2bb d1e9dcae7a0e86c9322638ee055661881b77e5d3
50ba75762ba139ebf65569b36e1acd75e6349931,Merge pull request #2607 from deepseek-harness/codex/workflow-manual-disclosure,5,380030c48f564c3e49611e7e70c4407a27efdcf6 7720b2258d0d07e7feeeef39bcc64adf8518e274 941e5c506178681f33b4192dadfc0d622a101201 c7bd2fdafe3a491dccf34fdc45bc51670e4716e3 cb064c4013175ccefe8020810ae988d5ed2298de
f2653b81d76862abb2aced53a300c9125eed2512,Merge pull request #2601 from deepseek-harness/codex/subagent-report-next-step,2,20cd7777534990d615acb27fe98553219a042841 d91df8cbd5d31610b640dba0aa6fa211b480a2a7
cb8756b838e03832bdbf2a688053176b8c3eb999,Merge pull request #1371 from deepseek-harness/codex/fix-large-history-pagination,1,5201b84863e7a89d3de177be17e398c9038eca07
21d2433d973a8a5e57e13307c92160805a4f1578,Merge pull request #2374 from deepseek-harness/codex/product-subagent-one-shot-background,7,28fcda2751c73882c3b0e4471f2d4d2813e7e0de 339c30ed148416e5a7c596c2eb4e20b5f567103a 5c085e3511689f8b4fa7c129a90702a9e8039038 93c0032216fa51ce4f225f5bda3dd615317d565e caf7d48f88fb9768c7c8a0a4b7f3ed2bc581b3bd dff9462bea24f72755da4ebdb1a1efbf9da4bf39 f0a875e8e9dfa68f2fcf0eb151450e51d9d30684
71fa4c50d1b3bbfbdf84211b06fc2e2903a0061d,Merge pull request #2512 from deepseek-harness/codex/2503-english-onboarding-copy,5,0f1c29c75110fb1cb218fff38bce048b6d9ce3c9 42c359e57b934caa228a8cc541fb6f97d24f38b9 908f1afc42c583a11e9fd280fad2c1cddc99ee69 a41085dfd40033e2e7d2590c9b38e0ade8eceef3 fc90114ad9567c876314f1877cf2cf4105bef974
b5aa2602a08cc5b105847865ad62ad7b3689afb1,Merge pull request #2498 from deepseek-harness/codex/docs-publish-source-build,1,7c94659ec4d73d13dad20d66bdb7d465e2624215
c1ae45809074bbde22bc965178a93800e57985a4,Merge pull request #2469 from deepseek-harness/codex/docs-release-smoke-fixes,4,3a1a4e2cd864e449cf3cd9de837a29b2bea35f7c 4201bbceca8104f6a26013e49c44239b6a257929 62080d49c265d3a7a5bf8efcae524a29e3320b8e bca790481c02c710e1c8b339efdf1ec7c2404370
a312675d10084be44247a1526ef828de29d38941,Merge pull request #2454 from deepseek-harness/codex/capitalize-service-provider,1,1540e76598f8365f64ccdcb200f7f9fb6ac50591
a0c60fc7b94461c7b377bfaed9c8210850b0422e,Merge pull request #2405 from deepseek-harness/codex/recommend-agent-architecture-docs,1,ca5e67490e0ae650823abc6e2994d651eb6b63c4
0dfca0ba219dbf409d047c9ce6c131fe959d0443,Merge pull request #2169 from deepseek-harness/codex/disable-telemetry-default,8,183aa65deb29f7df8fb320cc3ba448c9d1cdf661 560cabf848d93e05b6903177b3db66d7eb65eea1 57408d07fcbc159dc436233984d1ae9351a01c92 adcba3ed961547c6fde2ed4cbedb5a624532eb36 cc455c4f5a1ef19f5c56c117410758540365c752 e6eb44ed2a2171a4ee5b6a5f1944a2ccec0ea80a e92cfc770a10dcb3bb22a9aa2f67a1b3ae6770d5 ec236b273edaffafa63219609ac66b194655f2f3
beb4502c27e6afe82932af72b16a137e1ad0b738,Merge pull request #2335 from deepseek-harness/codex/comment-obvious-code,1,9f2c64f1754062c03e6b36c585313c927ab198b4
e9dfb30cdfb0a58706bf85b4e42116ed49b13619,Merge pull request #2256 from deepseek-harness/codex/bounded-background-tasks-v2,6,26891ce5ca26d385ab2bde721d023b5fb990f2fb 38922cbbb92646a88bb6141f3e5d72c6673db41a 938f08752dcf84933af46e4955e9257afd0d9742 9d173f8333da6013f6db1862c9093251eeb41b71 c98a4d09493350b546f8449295c15f5938aecda2 f32a51b2847eb0703b770c80c462d745afde5363
b423ed15d7dc6729a42982796475507b16cee3f2,Merge pull request #2319 from deepseek-harness/codex/separate-dsh-build,5,4c49e7109b4280750a226703aea9a9bf700d2e8d 4e7f40382dfb564225f12c7f406f200ecadd50ec 5d3fdf304207668b363de07e6bcad84e5f67d3ab baf2bc6dc3260ccd76c884dd05433658da51be6f e6d2a976451b03170e639fc64cf1751e198c64a6
b1c13b5ca37511b044567b9c8f65977c1b775285,Merge pull request #2254 from deepseek-harness/codex/subprocess-process-exit-cleanup-v2,3,0c232cf5b8477dcf4feed4c19d7fd34c2dfe1506 84b15efd854f606dbf2ca3fd922774165742ab16 ebe932e24c02b2afefd416a9ddee580cc6d8e7cd
07d77981274e52a830c1862cc3d1a8989a9a3dec,Merge pull request #2334 from deepseek-harness/codex/fix-readme-webui-guide-link,2,0f13ffa45825c954bc3eaa02dafef4816ba0846c 5142bc3eb671a3140346af6beb829378e5714007
fc68949e1a2832178d5e67419584f81ddc569f2f,Merge pull request #2296 from deepseek-harness/codex/workflow-run-auto-disclosure,5,1b91e5b4feb955ab0cd81325dc30e563e450b710 33112b495713d06c5094f58291410e039dc66078 3dff212c5ddae752b3e55dbc346ceb595a3693ad 8f308023a2c8744dd4cb5ee73b940616121ea5f9 e4a5c6fb9d903d8116685de349c7187f9ee264b4
258331f0da5b4ddcbd95e3b1cec40fb25e3a3e8c,Merge pull request #2261 from deepseek-harness/codex/linear-web-onboarding,1,04fe477e7e632993c3b5ca132bf92718600d8a72
564a853a04f4cd8b69f9ff10657b563ac1192b5e,Merge pull request #2277 from deepseek-harness/codex/background-first-continuable-subagents,3,8344d64363412c1b65b96596c1f0401eb513eacb 98d4551597e9ad0aac12cda1504aa845cf3316b9 c778b5b0db18c0b647101de716d02a6f6a0d2f51
73a59bf60f0d16e7e8d111716fa7da3bb26e03f9,Merge pull request #2272 from deepseek-harness/codex/fix-packed-install-pwsh-path,1,5e629f70042715593b0abebc011def2cd82a1e57
5b5ea127dd94d40f1b6ef59f546f91328ec0eafc,Merge pull request #2236 from deepseek-harness/codex/deepseek-user-id-header,2,18527071c442702d809f98e808313c79bb8d0a2a 93b0451ed5f36c2f04d99f09f2e27a6c3bff51cb
7957c0f4915d1ce49b26a9b07c2b06b620d9f685,Merge pull request #2179 from deepseek-harness/codex/workflow-runs-chat-node-f6,5,4eb0a52840df227b5541c7beb5edb64495585ec8 8de6df19d9763491b0a2c47f026909853ae9ed2a 8e3418e925ecc4ca7992b64d924201969b370863 a7ddded2ef44bc806a96f9ee00806109ee62b130 fff7dfac8eacc858fd72f6b41becf40bc726216f
35b4214e4e18acf3bdf514e3ba8d64069a97c090,Merge pull request #2260 from deepseek-harness/codex/add-contributing-guide,5,00c466437033206f631d6ba60569cae9e7d336c9 2f4bf08798421d66807f8260fe85da0f5c7090c1 59e98ca8dd97c1bc4a1d61ccd183e387749797a0 8a6c3736e4adb7da1db40eb6d3ab26a1ee0762a2 a11081ac840b4029134d9368fb8e49391bfbc4b3
2d2b89825e6c0ea4be96c408e35742659d1ef1aa,Merge pull request #1115 from deepseek-harness/codex/gui-goal-user-message,1,d06a7e07e560acf36a16453cbcc0d0a25b6d52c5
5d591e55c12a39784a0daf61da611fe8fb1d3eb1,Merge pull request #610 from deepseek-harness/codex/replace-surface-terminology,3,096586886af57983cf8464e38d021619a3d73510 0c708cb10dd7d37bb959b2c25fc583fbf090652e c6f3870b5135cdc3f015a9767ea5904a0926a180
d8e89e164405ed1f966625f3c3a45309757d83e9,Merge pull request #2198 from deepseek-harness/codex/fix-clone-instructions,1,d00590c707fcf60427132fdcf18584b1a18f0c81
