hash,month,type,stratum_population,stratum_sample,subject,explicit_review,codex_branch_association,diff_lines,excerpt_lines
73792a81b14298a9c0567b674b5f3b41bb2b3a01,2026-08,fix,1632,5,fix(ui-conversation): restore the folder glyph on composer folder references,False,False,55,55
18527071c442702d809f98e808313c79bb8d0a2a,2026-08,other,2194,5,docs: refresh module graph,False,True,45,45
80019566f217c0fed069d419d283d8059236a1a2,2026-08,other,2194,5,chore(doc-gates): keep cordisModuleBodies module-local — knip flags the unused export,False,False,14,14
9e91e206d4ad1662a843956cf73892aa4f3bf94a,2026-08,other,2194,5,refactor(subagent-codex): centralize cancellation settlement,False,True,149,90
c8815e50adaaca9723c9125fa3afd8a5a4888317,2026-08,other,2194,5,test(llm-deepseek): gate preview vision smoke,False,False,142,90
e53dcd56c7c59b2dbb646878b97df3f981d7c53f,2026-08,other,2194,5,test(web): keep scroll fixture markers private,False,True,11,11
3997f36999a186e9a24944f162f3fe0882ccd8e4,2026-09,feat,145,5,feat(client): replace the stats strip with two icon pills and click-open stat dialogs,False,False,3460,90
3a85ac6d8161b845edfdbc8ce51477da6fe2dcca,2026-09,feat,145,5,feat(resources): add Client resource registry and retained subscriptions,False,False,1146,90
8870a13aa941fee98455fc4e82877b0bc0ca69a7,2026-09,feat,145,5,feat(sidebar): preview image files,False,False,752,90
d09b4accd31ccd1d19b62ae9c5881d41de0270e2,2026-09,feat,145,5,feat: 打包 + 错误处理优化,False,False,2361,90
f1f6ca1c77314fecf1ddf8241d524a89bda09267,2026-09,feat,145,5,feat(visualizer): add dormant Host capability,False,False,4099,90
0fb509f54497623f16f3dc402d8340d820c1c0d5,2026-09,fix,489,5,fix(agent): preserve initialization failure during teardown,False,False,373,90
3b27563290a9fbda9a477d36d1a2fd47e1d97d62,2026-09,fix,489,5,fix: include package-index links and align residual metadata,False,False,317,90
9baebd8f3f3d0b20e11d25ccc250fd0963c1430f,2026-09,fix,489,5,fix(benchmarks): keep composer focus during streamed input,False,False,133,90
a6ef8dc97a81aa80d3a7c8e75aaf911ea3c92cc0,2026-09,fix,489,5,fix(client): animate the unloading phase dot and correct the catalog,False,False,274,90
c83f02ad818ce8b94c009b140011805b3a36e218,2026-09,fix,489,5,fix(web): defer desktop metadata until delivery cards appear,False,False,80,80
0752a09ae6b50ee8fd87a5bc71e0d0a752a90bdf,2026-09,other,828,5,docs(browser-use): explain the Stagehand action timer limit,False,False,10,10
2927034ffeb647a6f733e77de10c31a2ef0bcfdd,2026-09,other,828,5,test(perf): retain successful CI measurement output,False,False,47,47
59623c8ff4043d14db34249d552f752bff2a9bbe,2026-09,other,828,5,docs(subagent): refresh event declaration references,False,False,27,27
a189104d812c416fe23c5196904bc1e43677c6cb,2026-09,other,828,5,docs: refresh session controller module dependencies,False,False,45,45
bad4254d71448679d9f850447dfcaf8a33d5dac8,2026-09,other,828,5,Rename durable PTC vocabulary with identity-preserving v2 migration,False,False,2892,90
