hash,parents,parent_count,subject,category,conflicts_block,message
61176bf7c6193017cd7e5a775cc437fc0b473091,2044d2906b126ac103b4e93c2cb7464112b11b97 183f08e9c6dde7e36cd2318eaee70b0da08fb35e,2,Merge remote-tracking branch 'origin/master' into worktree/llm-deepseek-messages,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into worktree/llm-deepseek-messages

# Conflicts:
#	apps/web/tests/scaffold.ts
"
f030b544a9ce434ff23fa435f7757894d22f07f6,6e945def2fc1e6e5cb543d8e239c94bd82cffaa1 9b308c9568ac6225b13ac6238526e49e19dba59b,2,Merge remote-tracking branch 'origin/master' into worktree/web-sidebar-terminal,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into worktree/web-sidebar-terminal

# Conflicts:
#	packages/client/ui-sidebar-right/README.i18n.yaml
#	packages/client/ui-sidebar-right/README.md
#	packages/client/ui-sidebar-right/README.zh.md
"
af20a0f0043b0632fc6664b897957c1dad6ea15b,a9b5faef0b3cad409ea3331105fdb571823416bd 9b308c9568ac6225b13ac6238526e49e19dba59b,2,Merge remote-tracking branch 'origin/master' into HEAD,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into HEAD

# Conflicts:
#	packages/client/ui-primitives/src/markdown/CodeBlock.tsx
"
644f6abd7cef6564cfa693a2c7d09bc8f1d53e82,f5804826a8550f4add1a02bd7de3563182e4423d a7b5c8a043c1928bd7e6b31d2f5cc58d2a538770,2,Merge branch 'worktree/pr-3858-release-sync' into worktree/pr-3819-release-sync,本地分支标题,True,"Merge branch 'worktree/pr-3858-release-sync' into worktree/pr-3819-release-sync

# Conflicts:
#	packages/client/ui-primitives/README.i18n.yaml
#	packages/client/ui-primitives/README.md
#	packages/client/ui-primitives/README.zh.md
"
0b5fca5c68bdba9c0697189994cae853fc04ea11,6c4a2fb29484dd0adc8536373cbc94c638e1c9a6 ba5ce5700c63356ca3561ff3ed486057e56ee697,2,Merge remote-tracking branch 'origin/master' into worktree/issue-3515-feedback-dialog,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into worktree/issue-3515-feedback-dialog

# Conflicts:
#	apps/web/tests/message-feedback-layout.e2e.ts
"
6c4a2fb29484dd0adc8536373cbc94c638e1c9a6,30ea609363f3a95b64ac6f487d1b1a0d9970323b cad50c2504e8bc6d388498a36b949c98acb021d5,2,Merge remote-tracking branch 'origin/master' into worktree/issue-3515-feedback-dialog,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into worktree/issue-3515-feedback-dialog

# Conflicts:
#	packages/client/ui-model-selection/tests/browser-plugin.client.spec.ts
"
2044d2906b126ac103b4e93c2cb7464112b11b97,e5feedd14f0ab6b4495d97b2e7b9aa61a32965dc 43846e70321c004e6240ca5310d7ec7c8dd8e45f,2,Merge remote-tracking branch 'origin/master' into worktree/llm-deepseek-messages,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into worktree/llm-deepseek-messages

# Conflicts:
#	apps/web/tsconfig.json
#	tsconfig.host.json
"
d80891921be57ab82a6961903750b187cc9c9844,da1bc2523a564ed8be6007471b5fe0048c64ce3a ab904f4b6bf59ef22f429f169976dfc3b539462f,2,Merge remote-tracking branch 'origin/master' into worktree/pi-ai-settings-recovery,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into worktree/pi-ai-settings-recovery

# Conflicts:
#	packages/llm/llm/README.i18n.yaml
#	packages/llm/llm/README.md
#	packages/llm/llm/README.zh.md
"
f830cfd66a32f6f11f68cc4163d0e05b31298115,c4855581c3e01b8d0e735741f117483d0df06d65 b4983e92dfd4316384238f179aadc5653c2f16f9,2,Merge remote-tracking branch 'origin/master' into turtle/weighted-approval,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into turtle/weighted-approval

# Conflicts:
#	.github/review-ownership/README.md
"
3e0e419bd20e55fa681766171e76a565619917f3,6c87f030a334652b67b5aa4eea8a5c6eb92a1ab6 8fda2f620aa963363d716cf302faa714a70d4c6d,2,Merge remote-tracking branch 'origin/master' into xtr/explicit-agent-context,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into xtr/explicit-agent-context

# Conflicts:
#	apps/web/tests/queue-actions.e2e.ts
#	docs/subsystems/tools.i18n.yaml
#	docs/subsystems/tools.md
#	docs/subsystems/tools.zh.md
#	packages/extensions/tool-cordis/src/api-catalog.ts
#	packages/visualizer/tool-visualizer/README.i18n.yaml
#	packages/visualizer/tool-visualizer/README.md
#	packages/visualizer/tool-visualizer/README.zh.md
#	packages/visualizer/tool-visualizer/src/index.ts
#	packages/visualizer/tool-visualizer/tests/loader-composition.spec.ts
#	packages/visualizer/tool-visualizer/tests/model-surface.spec.ts
"
314ccf08af50c030d29309c0dacc2fca1037d6ad,1780d0d3556ed829371baeb7a645530488d7ae87 189d96920cd6c2c5d6b0508a98bebfc1d381d8bf,2,Merge remote-tracking branch 'origin/master' into xtr/explicit-agent-context,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into xtr/explicit-agent-context

# Conflicts:
#	packages/bundle/headless/tests/headless.spec.ts
#	packages/core/agent-loop/src/agent.ts
#	packages/subagent/subagent/tests/continuation.spec.ts
"
aa3a1c2b4a88a9d86ce96f9133a897f530d79321,914dec6fea4671bfcb6bd84e7ba21caf5b40c8d5 f9ec0c28ed9804bfdf7f7651bcbc9194052dfbfe,2,Merge remote-tracking branch 'origin/master' into worktree/llm-deepseek-messages,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into worktree/llm-deepseek-messages

# Conflicts:
#	packages/llm/llm-deepseek/README.i18n.yaml
#	packages/llm/llm-deepseek/README.md
#	packages/llm/llm-deepseek/README.zh.md
"
514f92ba53d909878cd6ebe16ab1c89e22e1e54d,21db102cea652e7e6b80210be9a60a2990f5d055 c389f96bf3a9b6807cb71ed6bdad5849be0df6d8,2,Merge remote-tracking branch 'upstream/master' into issue-1424-goal-resume-activation,远端跟踪分支标题,True,"Merge remote-tracking branch 'upstream/master' into issue-1424-goal-resume-activation

# Conflicts:
#	packages/goal/goal/tests/projection.spec.ts
"
256afa848c9bc9a74e8434bc34301b79c6d9babb,2c45dfe71e39e2b874ba514ccc79414b6275b2bd de01754f1ebf5148440096e1e446310f285e3107,2,Merge remote-tracking branch 'origin/master' into fix/input-placeholder-stat-ui-polish,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into fix/input-placeholder-stat-ui-polish

# Conflicts:
#	packages/client/ui-chat/src/client/locale.ts
#	packages/client/ui-chat/tests/gate-branch-tails.client.spec.tsx
"
267d2f8eb904862cc4d1a5179b5de9b3e33fe3b0,2555474a7d778a588aa571cab1bed444af6d33c9 ba05b7d49de63106afdd7efcf741cca1985fae18,2,Merge remote-tracking branch 'origin/master' into turtle/from-default-profile,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into turtle/from-default-profile

# Conflicts:
#	apps/cli/README.i18n.yaml
#	apps/cli/README.md
#	apps/cli/README.zh.md
#	packages/boot/app-boot/README.i18n.yaml
#	packages/boot/app-boot/README.md
#	packages/boot/app-boot/README.zh.md
"
0348599f04a55e0f2189b17829c705c82af29ec2,891f07a2d01eef9b517b0f1a3c76cdc02e4c4b8f 82a5fd61a7cf5c293cec4bdff68f455398d685e9,2,Merge remote-tracking branch 'origin/master' into dshw/pr-deepseek-harness-deepseek-harness-2672,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into dshw/pr-deepseek-harness-deepseek-harness-2672

# Conflicts:
#	docs/event-producer-consumer.i18n.yaml
#	docs/event-producer-consumer.md
#	docs/event-producer-consumer.zh.md
#	packages/acp/acp/tests/harness.ts
#	packages/api/session-controller/README.i18n.yaml
#	packages/api/session-controller/README.md
#	packages/api/session-controller/README.zh.md
#	packages/api/session-controller/tests/commands-queue-attachment.host.spec.ts
#	packages/context/agent-instructions/tests/agent-instructions.e2e.ts
#	packages/fs/tool-fs/tests/harness.ts
#	packages/preset/agent-presets/tests/invariant.spec.ts
#	packages/preset/agent-presets/tests/mount.spec.ts
#	packages/preset/agent-presets/tests/remote.spec.ts
#	packages/test-support/agent-loop-testkit/package.json
"
e9f1b6c53ef959763bd33945c483383672af8084,e82e5ffd7a1717d2b9e1f565017a814251de6eb2 cb602a0df566ac1321e56784e4fbe56dd7cbfceb,2,Merge remote-tracking branch 'origin/master' into codex/subprocess-native-containment,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into codex/subprocess-native-containment

# Conflicts:
#	.agents/notes/implemented/architecture/2026-07-16-explicit-turn-cancellation.i18n.yaml
#	.agents/notes/implemented/architecture/2026-07-16-explicit-turn-cancellation.md
#	.agents/notes/implemented/architecture/2026-07-16-explicit-turn-cancellation.zh.md
#	.agents/notes/implemented/architecture/2026-09-05-canonical-feedback-log.i18n.yaml
#	.agents/notes/implemented/architecture/2026-09-05-nonofficial-feedback-otel.i18n.yaml
#	.agents/notes/implemented/architecture/2026-09-06-embedded-stream-record-readers.i18n.yaml
#	.agents/notes/implemented/bug-fix/2026-09-03-normalized-unread-fs-tool-diagnostic.i18n.yaml
#	.agents/notes/implemented/bug-fix/2026-09-06-windows-python-console-spawn-wait.i18n.yaml
#	.agents/notes/implemented/feature/2026-08-26-generic-file-upload.i18n.yaml
#	.agents/notes/implemented/feature/2026-09-07-model-switch-notice.i18n.yaml
#	.agents/notes/implemented/process/2026-09-03-semantic-issue-templates-and-policy.i18n.yaml
#	packages/shell/bash-local/tests/executor.spec.ts
#	packages/subprocess/subprocess-local/README.i18n.yaml
#	packages/subprocess/subprocess-local/README.md
#	packages/subprocess/subprocess-local/README.zh.md
#	packages/subprocess/subprocess-local/src/spawn.ts
#	packages/subprocess/subprocess-local/tests/spawn.spec.ts
#	packages/subprocess/win32-process/package.json
"
6b3681ae4467b78b29c808156ef3964a69b891ee,b6cb4609b6939c66e0cf8eccf983461b54e8f117 5608528e1427de9174edfffd87343719f9bfc8ce,2,Merge remote-tracking branch 'origin/master' into worktree/3041-image-offload-log-design,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into worktree/3041-image-offload-log-design

# Conflicts:
#	docs/architecture.i18n.yaml
#	docs/architecture.md
#	docs/architecture.zh.md
"
03ce9c2ab36e5aaa90d70be02ca4b21394342378,d006772ab6a524629cf858cef206e89dd7e25753 31090e240a3d7b23ca12e77e91342d359a474c91,2,Merge remote-tracking branch 'upstream/master' into issue-1424-goal-resume-activation,远端跟踪分支标题,True,"Merge remote-tracking branch 'upstream/master' into issue-1424-goal-resume-activation

# Conflicts:
#	packages/terminal/terminal-bash/tests/local.spec.ts
#	snapshots/session/persistent-pwsh-tool-turn/session.v2.jsonl
#	snapshots/session/pwsh-tool-turn/session.v2.jsonl
"
b759ad91e8468c2145353fa55c1567f4304ac2ed,46d01068c6ea0ded472add30d23531071aab2b67 6ac32583909aa3c1482e6ba52e78adcda518a6d3,2,Merge remote-tracking branch 'origin/master' into xtr/explicit-agent-context,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into xtr/explicit-agent-context

# Conflicts:
#	packages/subagent/subagent/src/continuation.ts
"
31b3f3bc4450481f492e8c1eaf44df5adb60c79f,9e5745de3b0f687273960d5b272988402aca9d8d 6ac32583909aa3c1482e6ba52e78adcda518a6d3,2,Merge remote-tracking branch 'origin/master' into feat/electron,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into feat/electron

# Conflicts:
#	.agents/notes/archived/manifest.json
#	.agents/notes/archived/simplification/2026-07-31-drop-user-message-edit-stub.i18n.yaml
#	.agents/notes/archived/simplification/2026-07-31-drop-user-message-edit-stub.md
#	.agents/notes/archived/simplification/2026-07-31-drop-user-message-edit-stub.zh.md
#	.agents/notes/implemented/architecture/2026-09-05-canonical-feedback-log.i18n.yaml
#	.agents/notes/implemented/bug-fix/2026-09-05-nested-terminal-cards.i18n.yaml
#	docs/config-catalog.i18n.yaml
#	docs/config-catalog.zh.md
#	packages/boot/app-boot/README.i18n.yaml
#	packages/boot/app-boot/README.md
#	packages/boot/app-boot/README.zh.md
#	packages/client/connection/src/index.ts
#	packages/client/connection/tests/node-half.host.spec.ts
#	packages/shell/tool-pwsh-persistent/README.i18n.yaml
#	packages/shell/tool-pwsh-persistent/README.md
#	packages/shell/tool-pwsh-persistent/README.zh.md
#	pnpm-lock.yaml
#	tsconfig.host.json
"
eba45d9add924ab00d5e356f436bc9b128a267f1,db5e57347b73b80984986a23c946cc20844683da,1,fix(rebase): preserve the complete replay plugin after migration API merge,非合并,False,"fix(rebase): preserve the complete replay plugin after migration API merge

Retain installLlmReplay, Config validation and apply when resolving the streaming migration API change. The representation layer requires no replay plugin source changes, so restore its complete current-master implementation rather than a truncated conflict fragment. Capability additions remain exclusively in the dependent feature layer.

Validation: the restored source is byte-identical to origin/master and the replay unit suite passes. The initial normal commit hook failed because this detached worktree had no dependency links; pnpm install --frozen-lockfile installs them before retrying the unchanged hook, without bypass.
"
4c9f5efc07ad18dbe24987f16b4be97219889a20,c29b97ad945aa3ee106c282453c159ed2608c6dc,1,fix(agent-loop): reserve the initial empty system head,非合并,False,"fix(agent-loop): reserve the initial empty system head

Cause: SystemPromptProjection skipped the first empty rendered prompt. The initial admitted user then occupied surface node zero, so a later nonempty prompt appended behind user history. Routes without in-history system support lost the leading system role; pi-ai demotes a non-leading system message to user content.

Fix: append the initial system node even when its content is empty. The existing loop commit order reserves node zero before admitted user messages; later prompt text replaces that node. Empty content still derives to no wire message. Keep retained-node replacement, clearing, multi-system handling, and pi-ai conversion unchanged; this addresses only the reviewed PR3476 initial-empty finding, not PR3483.

Tests: added initial-empty projection and two-turn loop regressions for empty wire output, reserved surface head, later leading system role, replacement intent, and series header. Negative control failed before the source fix. Focused projection/runtime-context/loop/request-reconstruction/session-surface/pi-ai-context suites passed 176 tests; exact runtime-context.ts coverage is 100% statements, branches, functions, and lines. test:docs passed all 15 gates. Updated README EN/ZH, architecture map and owning architecture note; recorded all three translation pairs. Broad doc-sync/lint stopped at parent request for combined-layer validation. No normalize.ts conflict-comment edit.
"
e8e0ec417631a91f0365225767bd2df7c3fb79f8,7b182e95e1ff8c8f4e5557bd8a763db56b4d0b5e,1,docs(snapshot): remove stale prompt scrubber conflict residue,非合并,False,"docs(snapshot): remove stale prompt scrubber conflict residue

Delete the leftover diff3 parent marker and both copies of the obsolete request-header prompt JSDoc. Keep only the current system/message tokenization contract. This is a local comment-only finding; neither oracle behavior nor fixture content changes.

Evidence: git diff --check is clean; focused normalize.spec.ts scrubSystemPrompts test passes (1 selected, 64 skipped). The earlier header-preservation commit intentionally retained this marker so the findings stay independent.
"
1adcd8203a7a3ef1c7875835d29f7f55347733de,8bde91378438e6c4d5b0fefe74f9634edd6b2d42,1,fix(token-meter): anchor usage after admitted prompt inputs,非合并,False,"fix(token-meter): anchor usage after admitted prompt inputs

The loop appends step/start before system/message and the entered user
messages. Capturing nodes at step/start therefore omits inputs already
included in the provider's successful usage, then adds those inputs back
as a positive surface delta. Prompt replacement can also incorrectly add
or subtract the difference from the prior prompt on a completed call.

Snapshot the current priced surface immediately before assistant/message
commits. Keep provider output separate from the durable assistant node so
listener rewrites retain their signed delta. The invariant is zero delta
immediately after an unchanged successful output: provider usage already
includes every admitted prompt input. Later appends/replacements still
produce signed deltas, and low or absent usage keeps heuristic fallback.

Delete stepStart.nodes rather than adding prompt-specific corrections or
another request snapshot: the existing transactional surface fold already
contains the successful request inputs, including replacements made during
same-step retry recovery. Keep turn/step state and all overlap, mismatch,
and late-assistant lifecycle validation. Retry attempts are log-only and
request middleware changes configuration; injected messages remain queued
until admission. No loop, event format, projection, or retry policy changes.

Exercise the real loop with reported usage and initial, growing, shrinking,
and empty prompts; same-step failed attempt plus retry prompt replacement;
request middleware; eager observation and fresh seeded replay. The two
regressions fail before the fix with spurious deltas of +48 and +18 tokens.
Retain existing durable-output rewrite, route repricing, missing/low usage,
transactional failure, and lifecycle tests. Update README EN/ZH and the
existing system-prompt surface-node Agent Note, including pairing records.

Validation (dedicated worktree, no full unit suite):
- pnpm exec vitest run packages/llm/token-meter/tests packages/compaction/compaction-basic/tests/compaction-loop-repro.spec.ts --coverage --coverage.include='packages/llm/token-meter/src/index.ts'
  118 passed; exact changed runtime file 100% statements/branches/functions/lines.
- pnpm exec vitest run packages/core/agent-loop/tests/request-reconstruction.spec.ts packages/compaction/compaction-basic/tests/compaction-basic.spec.ts packages/compaction/compaction-basic/tests/loader-composition.spec.ts
  118 passed, including retry reconstruction and real Loader composition.
- pnpm run doc-sync: 33 gates passed.
- pnpm run test:docs: 15 gates passed.
- pnpm run lint: passed, 0 warnings/errors.
- git diff --cached --check: passed.

Baseline normalize.ts comment conflict marker is intentionally untouched.
"
06cee184301609a07db91bdabee6386258a95b49,b9a4b682c486545f898a13a011fd4e148aa68aa6 d86c08bc1ca76f40f8f122ab1132e316aef3f247,2,Merge remote-tracking branch 'upstream/master' into issue-1424-goal-resume-activation,远端跟踪分支标题,True,"Merge remote-tracking branch 'upstream/master' into issue-1424-goal-resume-activation

# Conflicts:
#	.agents/notes/implemented/bug-fix/2026-09-01-host-goal-pause-aborts-turn.i18n.yaml
#	.agents/notes/implemented/feature/2026-07-19-human-goal-command.i18n.yaml
#	.agents/notes/implemented/feature/2026-07-19-same-session-goal-round-driver.i18n.yaml
"
344432de76f852e701ca48126d72a7298688ec70,3993d36c6968c444031c89cea7c72a720d9c8f94 d347e703908d0406b7a7ef80e3a0e594d86b2215,2,Merge commit '746fc39c75c77eb7663f916002ae9e3fd9827a71' into auto-review-per-call,指定提交标题,True,"Merge commit '746fc39c75c77eb7663f916002ae9e3fd9827a71' into auto-review-per-call

# Conflicts:
#	docs/config-catalog.i18n.yaml
#	docs/config-catalog.md
#	docs/config-catalog.zh.md
#	docs/event-producer-consumer.i18n.yaml
#	docs/event-producer-consumer.md
#	docs/event-producer-consumer.zh.md
#	packages/api/remotes/src/client/index.ts
#	packages/client/ui-conversation/src/client/locales.ts
#	packages/client/ui-conversation/src/client/skeleton/InputBar.tsx
#	packages/client/ui-conversation/tests/input-bar.client.spec.tsx
#	packages/extensions/cordis-client-runner/src/client/slot-catalog.ts
"
4dfd3b5948fef28c048039a39d7b55e06f679585,cff9a004a660815881cb53471af69c5b298446f1,1,fix(note): restore blank line before Alternatives heading after merge conflict resolution,非合并,False,"fix(note): restore blank line before Alternatives heading after merge conflict resolution
"
493072641d983424c860b837e2cf7476ea146c2d,f0ab6a60546b5fd970ac94dcedbd479f92e237b3 0180c5cdea7eefc6fec5eef043529a6a856f58e3,2,Merge remote-tracking branch 'origin/master' into fix/fork-resume-system-prompt,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into fix/fork-resume-system-prompt

# Conflicts:
#	packages/client/ui-chat/src/client/conversation-nodes/chat-snapshot-builder.ts
"
75c7bbb88d888b0f653ce42a17fcc9237f664cbf,fe0b7f281450a4b128570c5cb1eda60d4c568c99 9c1370370871c6e2eec9c74ff3757251bea9ffc3,2,Merge remote-tracking branch 'origin/master' into feat/electron,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into feat/electron

# Conflicts:
#	packages/client/connection/README.i18n.yaml
#	packages/client/connection/README.md
#	packages/client/connection/README.zh.md
"
